filename	acq_time
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-001_eeg.edf	2025-09-12T12:11:26.904926Z
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-002_eeg.edf	2025-09-12T12:12:17.882817Z
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-003_eeg.edf	2025-09-12T12:13:04.925890Z
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-004_eeg.edf	2025-09-12T12:13:50.998996Z
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-005_eeg.edf	2025-09-12T12:14:37.551257Z
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-006_eeg.edf	2025-09-12T12:15:23.186160Z
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-007_eeg.edf	2025-09-12T12:16:10.731461Z
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-008_eeg.edf	2025-09-12T12:17:20.163540Z
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-009_eeg.edf	2025-09-12T12:18:08.335512Z
eeg/sub-P003_ses-S003_task-MI+Eyes Closed_run-010_eeg.edf	2025-09-12T12:18:57.416256Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-001_eeg.edf	2025-09-12T12:10:27.667195Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-002_eeg.edf	2025-09-12T12:11:50.153148Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-003_eeg.edf	2025-09-12T12:12:40.742144Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-004_eeg.edf	2025-09-12T12:13:27.173345Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-005_eeg.edf	2025-09-12T12:14:13.405563Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-006_eeg.edf	2025-09-12T12:14:59.648202Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-007_eeg.edf	2025-09-12T12:15:45.497405Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-008_eeg.edf	2025-09-12T12:16:33.203100Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-009_eeg.edf	2025-09-12T12:17:42.254195Z
eeg/sub-P003_ses-S003_task-MI+Eyes Open_run-010_eeg.edf	2025-09-12T12:18:31.216509Z
