Designator,Mid X,Mid Y,Rotation,Layer
C1,151.2,-98.875,90.0,top
C2,148.72,-95.0,0.0,top
C3,148.72,-96.0,180.0,top
J1,148.6,-100.6,0.0,top
J2,151.6,-100.6,0.0,top
J3,150.0,-100.0,180.0,bottom
J4,145.6,-100.6,0.0,top
R1,151.0,-95.6,270.0,top
R2,147.0,-97.44,0.0,top
R3,147.0,-99.36,180.0,top
U1,149.35,-98.4,270.0,top
