filename	acq_time
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-001_eeg.edf	2025-09-12T11:44:30.197141Z
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-002_eeg.edf	2025-09-12T11:46:19.599528Z
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-003_eeg.edf	2025-09-12T11:50:45.222277Z
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-004_eeg.edf	2025-09-12T11:51:35.103183Z
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-005_eeg.edf	2025-09-12T11:52:23.423551Z
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-006_eeg.edf	2025-09-12T11:53:11.426039Z
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-007_eeg.edf	2025-09-12T11:54:06.793019Z
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-008_eeg.edf	2025-09-12T11:54:55.333570Z
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-009_eeg.edf	2025-09-12T11:55:41.580874Z
eeg/sub-P003_ses-S001_task-MI+Eyes Closed_run-010_eeg.edf	2025-09-12T11:56:26.885855Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-001_eeg.edf	2025-09-12T11:41:36.153028Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-002_eeg.edf	2025-09-12T11:45:50.942696Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-003_eeg.edf	2025-09-12T11:50:20.049378Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-004_eeg.edf	2025-09-12T11:51:10.009966Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-005_eeg.edf	2025-09-12T11:51:58.168444Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-006_eeg.edf	2025-09-12T11:52:47.545080Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-007_eeg.edf	2025-09-12T11:53:35.515206Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-008_eeg.edf	2025-09-12T11:54:30.099945Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-009_eeg.edf	2025-09-12T11:55:17.473355Z
eeg/sub-P003_ses-S001_task-MI+Eyes Open_run-010_eeg.edf	2025-09-12T11:56:03.542996Z
