name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Fp2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
