filename	acq_time
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-001_eeg.edf	2025-09-05T15:34:10.757644Z
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-002_eeg.edf	2025-09-05T15:36:04.040465Z
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-003_eeg.edf	2025-09-05T15:37:15.617295Z
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-004_eeg.edf	2025-09-05T15:38:09.266437Z
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-005_eeg.edf	2025-09-05T15:39:07.595988Z
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-006_eeg.edf	2025-09-05T15:40:20.292658Z
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-007_eeg.edf	2025-09-05T15:41:21.599889Z
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-008_eeg.edf	2025-09-05T15:42:15.310498Z
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-009_eeg.edf	2025-09-05T15:43:04.057147Z
eeg/sub-P001_ses-S001_task-MI+Eyes Closed_run-010_eeg.edf	2025-09-05T15:44:25.784990Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-001_eeg.edf	2025-09-05T15:33:22.579783Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-002_eeg.edf	2025-09-05T15:35:34.799534Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-003_eeg.edf	2025-09-05T15:36:46.135954Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-004_eeg.edf	2025-09-05T15:37:40.255870Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-005_eeg.edf	2025-09-05T15:38:31.825187Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-006_eeg.edf	2025-09-05T15:39:29.793895Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-007_eeg.edf	2025-09-05T15:40:57.669478Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-008_eeg.edf	2025-09-05T15:41:45.718900Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-009_eeg.edf	2025-09-05T15:42:38.174534Z
eeg/sub-P001_ses-S001_task-MI+Eyes Open_run-010_eeg.edf	2025-09-05T15:43:26.479903Z
