filename	acq_time
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-001_eeg.edf	2025-09-05T16:47:42.916967Z
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-002_eeg.edf	2025-09-05T16:48:44.430845Z
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-003_eeg.edf	2025-09-05T16:49:30.816125Z
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-004_eeg.edf	2025-09-05T16:50:20.576566Z
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-005_eeg.edf	2025-09-05T16:51:17.001814Z
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-006_eeg.edf	2025-09-05T16:52:02.556104Z
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-007_eeg.edf	2025-09-05T16:52:49.173306Z
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-008_eeg.edf	2025-09-05T16:53:36.753042Z
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-009_eeg.edf	2025-09-05T16:54:23.188327Z
eeg/sub-P002_ses-S003_task-MI+Eyes Closed_run-010_eeg.edf	2025-09-05T16:55:08.308722Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-001_eeg.edf	2025-09-05T16:47:19.287279Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-002_eeg.edf	2025-09-05T16:48:20.696437Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-003_eeg.edf	2025-09-05T16:49:06.426984Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-004_eeg.edf	2025-09-05T16:49:52.776698Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-005_eeg.edf	2025-09-05T16:50:52.209681Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-006_eeg.edf	2025-09-05T16:51:38.947570Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-007_eeg.edf	2025-09-05T16:52:24.988559Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-008_eeg.edf	2025-09-05T16:53:11.601057Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-009_eeg.edf	2025-09-05T16:53:58.970201Z
eeg/sub-P002_ses-S003_task-MI+Eyes Open_run-010_eeg.edf	2025-09-05T16:54:45.218858Z
