filename	acq_time
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-001_eeg.edf	2025-09-05T16:08:35.005851Z
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-002_eeg.edf	2025-09-05T16:10:10.262288Z
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-003_eeg.edf	2025-09-05T16:15:03.656148Z
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-004_eeg.edf	2025-09-05T16:15:50.196059Z
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-005_eeg.edf	2025-09-05T16:16:38.156110Z
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-006_eeg.edf	2025-09-05T16:17:26.589538Z
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-007_eeg.edf	2025-09-05T16:18:12.157527Z
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-008_eeg.edf	2025-09-05T16:19:00.470461Z
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-009_eeg.edf	2025-09-05T16:19:46.872634Z
eeg/sub-P001_ses-S003_task-MI+Eyes Closed_run-010_eeg.edf	2025-09-05T16:20:30.922026Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-001_eeg.edf	2025-09-05T16:07:17.572274Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-002_eeg.edf	2025-09-05T16:08:56.965774Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-003_eeg.edf	2025-09-05T16:10:32.271833Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-004_eeg.edf	2025-09-05T16:15:24.992862Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-005_eeg.edf	2025-09-05T16:16:13.050450Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-006_eeg.edf	2025-09-05T16:16:59.922424Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-007_eeg.edf	2025-09-05T16:17:47.926243Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-008_eeg.edf	2025-09-05T16:18:33.766915Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-009_eeg.edf	2025-09-05T16:19:22.201644Z
eeg/sub-P001_ses-S003_task-MI+Eyes Open_run-010_eeg.edf	2025-09-05T16:20:08.155520Z
