filename	acq_time
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-001_eeg.edf	2025-09-05T15:50:50.420854Z
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-002_eeg.edf	2025-09-05T15:51:59.166080Z
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-003_eeg.edf	2025-09-05T15:52:57.495341Z
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-004_eeg.edf	2025-09-05T15:53:54.887053Z
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-005_eeg.edf	2025-09-05T15:55:42.474284Z
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-006_eeg.edf	2025-09-05T16:00:01.017707Z
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-007_eeg.edf	2025-09-05T16:00:48.717654Z
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-008_eeg.edf	2025-09-05T16:01:40.438595Z
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-009_eeg.edf	2025-09-05T16:03:31.776335Z
eeg/sub-P001_ses-S002_task-MI+Eyes Closed_run-010_eeg.edf	2025-09-05T16:04:20.585344Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-001_eeg.edf	2025-09-05T15:49:41.820936Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-002_eeg.edf	2025-09-05T15:51:13.269284Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-003_eeg.edf	2025-09-05T15:52:22.613477Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-004_eeg.edf	2025-09-05T15:53:23.883272Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-005_eeg.edf	2025-09-05T15:55:13.498890Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-006_eeg.edf	2025-09-05T15:59:35.690299Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-007_eeg.edf	2025-09-05T16:00:22.923955Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-008_eeg.edf	2025-09-05T16:01:11.835211Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-009_eeg.edf	2025-09-05T16:03:07.790665Z
eeg/sub-P001_ses-S002_task-MI+Eyes Open_run-010_eeg.edf	2025-09-05T16:03:53.711080Z
