filename	acq_time
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-001_eeg.edf	2025-09-05T16:37:58.580911Z
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-002_eeg.edf	2025-09-05T16:38:48.559433Z
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-003_eeg.edf	2025-09-05T16:39:35.224899Z
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-004_eeg.edf	2025-09-05T16:40:20.175796Z
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-005_eeg.edf	2025-09-05T16:41:12.385133Z
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-006_eeg.edf	2025-09-05T16:41:57.865986Z
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-007_eeg.edf	2025-09-05T16:42:42.934654Z
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-008_eeg.edf	2025-09-05T16:43:29.093342Z
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-009_eeg.edf	2025-09-05T16:44:13.511814Z
eeg/sub-P002_ses-S002_task-MI+Eyes Closed_run-010_eeg.edf	2025-09-05T16:45:45.395239Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-001_eeg.edf	2025-09-05T16:37:34.046046Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-002_eeg.edf	2025-09-05T16:38:23.557008Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-003_eeg.edf	2025-09-05T16:39:09.854824Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-004_eeg.edf	2025-09-05T16:39:56.871872Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-005_eeg.edf	2025-09-05T16:40:49.419281Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-006_eeg.edf	2025-09-05T16:41:34.107272Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-007_eeg.edf	2025-09-05T16:42:19.684486Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-008_eeg.edf	2025-09-05T16:43:04.631222Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-009_eeg.edf	2025-09-05T16:43:50.745031Z
eeg/sub-P002_ses-S002_task-MI+Eyes Open_run-010_eeg.edf	2025-09-05T16:45:21.849073Z
